II,aVR,PLETH
2812,-259,3695
2612,69,3642
2415,474,3597
2263,739,3556
2199,819,3532
2209,798,3498
2271,733,3466
2332,660,3428
2379,647,3401
2392,743,3366
2379,906,3336
2339,1044,3296
2307,1121,3270
2291,1133,3247
2307,1078,3237
2348,989,3220
2415,949,3205
2456,1001,3182
2415,1121,3172
2267,1278,3157
2091,1466,3139
1977,1601,3103
1983,1509,3074
2074,1102,3050
2199,561,3041
2280,233,3023
2271,345,3009
2153,818,2988
1983,1380,2976
1824,1781,2956
1730,1941,2943
1691,1906,2924
1694,1768,2910
1719,1590,2890
1766,1423,2878
1818,1304,2861
1875,1251,2845
1933,1240,2820
2019,1251,2812
2114,1272,2811
2199,1294,2812
2250,1251,2794
2307,1078,2780
2399,767,2772
2523,431,2780
2615,198,2778
2632,129,2780
2559,185,2777
2451,302,2780
2356,432,2765
2307,561,2747
2270,681,2723
2199,819,2714
2074,994,2697
1947,1208,2682
1861,1399,2656
1838,1509,2649
1858,1521,2644
1911,1509,2649
1970,1558,2650
2019,1682,2682
2047,1774,2734
2091,1725,2812
2159,1514,2886
2235,1251,2976
2262,1060,3077
2235,992,3205
2165,1003,3329
2091,1035,3466
2013,1059,3612
1947,1078,3793
1885,1097,3985
1838,1121,4186
1797,1152,4367
1766,1208,4546
1740,1298,4708
1730,1423,4873
1727,1543,5021
1730,1639,5167
1726,1729,5289
1730,1854,5396
1749,1964,5466
1802,1941,5527
1890,1706,5574
2019,1337,5625
2155,979,5651
2271,733,5657
2340,600,5637
2379,561,5625
2392,603,5608
2379,733,5592
2321,922,5546
2235,1121,5494
2147,1239,5435
2091,1208,5396
2062,1042,5348
2055,863,5298
2050,779,5228
2055,819,5167
2071,919,5098
2127,992,5036
2232,946,4962
2379,776,4905
2482,608,4849
2451,647,4807
2251,947,4753
1983,1380,4709
1781,1799,4657
1730,2156,4611
1786,2370,4552
1875,2286,4513
1939,1865,4475
1983,1337,4447
2010,956,4405
2019,776,4382
2002,683,4363
1983,647,4349
1985,695,4311
2019,819,4284
2068,943,4263
2127,1035,4251
2203,1085,4216
2307,1078,4186
2415,989,4162
2487,863,4153
2489,750,4122
2415,690,4088
2253,685,4047
1983,776,4022
1582,992,3987
1081,1337,3957
539,1743,3919
36,2156,3891
-384,2538,3855
-685,2889,3826
-861,3172,3790
-901,3321,3761
-827,3283,3722
-685,3105,3695
-579,2910,3671
-577,2846,3663
-675,2983,3646
-757,3278,3630
-725,3573,3598
-541,3709,3564
-270,3626,3523
36,3407,3499
342,3168,3479
649,2976,3466
915,2831,3435
1118,2717,3401
1261,2582,3360
1406,2372,3336
1571,2083,3313
1730,1811,3303
1840,1655,3286
1911,1639,3270
1974,1689,3237
2055,1725,3205
2158,1664,3175
2307,1466,3172
2508,1141,3173
2740,776,3172
2949,462,3151
3100,259,3139
3164,176,3134
3136,216,3139
3032,326,3135
2920,431,3139
2860,462,3141
2884,431,3139
2954,381,3118
3028,345,3107
3055,319,3104
3028,302,3107
2944,285,3088
2848,259,3074
2793,208,3068
2848,129,3074
2993,17,3060
3172,-129,3041
3313,-294,3020
3425,-431,3009
3519,-508,2989
3605,-518,2976
3643,-471,2958
3641,-388,2943
3615,-326,2918
3605,-345,2910
3602,-441,2910
3605,-518,2910
3591,-498,2890
3569,-388,2878
3532,-251,2874
3497,-129,2878
3457,-73,2861
3425,-129,2845
3387,-296,2836
3353,-474,2845
3311,-576,2845
3280,-604,2845
3267,-626,2841
3280,-647,2845
3265,-591,2842
3172,-388,2845
2982,-67,2843
2776,259,2845
2632,468,2838
2596,518,2845
2614,457,2858
2632,388,2878
2597,398,2879
2523,518,2878
2425,709,2872
2343,906,2878
2279,1061,2876
2235,1164,2878
2181,1205,2874
2127,1164,2878
2074,1059,2877
2055,949,2878
2060,874,2864
2091,819,2845
2113,775,2819
2127,776,2812
2123,848,2812
2127,949,2812
2137,1019,2795
2163,1035,2780
2193,996,2762
2235,906,2747
2273,806,2723
2307,776,2714
2344,817,2712
2415,819,2714
2508,677,2694
2596,431,2682
2665,199,2685
2740,86,2714
2797,123,2723
2776,302,2714
2664,510,2698
2559,604,2714
2564,503,2736
2668,302,2747
2762,118,2734
2776,0,2747
2704,-79,2771
2559,-86,2780
2304,32,2751
1911,302,2780
1398,668,2938
865,1078,3237
408,1480,3568
72,1854,3859
-192,2185,4056
-433,2501,4186
-659,2834,4256
-829,3191,4317
-951,3520,4365
-1045,3752,4415
-1116,3861,4441
-1081,3881,4480
-913,3857,4531
-649,3795,4611
-378,3675,4676
-108,3493,4742
172,3276,4804
469,3062,4905
720,2894,5025
901,2803,5167
1007,2789,5302
1081,2803,5461
1151,2788,5631
1262,2717,5821
1437,2579,5995
1694,2372,6181
1990,2095,6357
2271,1768,6540
2485,1407,6691
2632,1035,6835
2719,680,6959
2776,388,7096
2838,146,7213
2956,-86,7325
3123,-328,7407
3280,-518,7489
3366,-608,7550
3389,-604,7619
3377,-544,7668
3353,-431,7718
3308,-286,7745
3280,-173,7783
3302,-165,7810
3389,-259,7848
3490,-397,7864
3569,-518,7881
3600,-595,7875
3605,-604,7881
3589,-553,7874
3569,-474,7881
3534,-415,7865
3497,-388,7848
3455,-386,7808
3425,-388,7783
3388,-367,7746
3353,-302,7718
3318,-215,7663
3316,-173,7619
3331,-219,7564
3353,-345,7521
3372,-513,7461
3425,-690,7423
3476,-821,7384
3461,-819,7358
3318,-632,7303
3100,-302,7260
2884,60,7214
2740,345,7194
2677,485,7157
2704,474,7129
2760,378,7086
2776,302,7064
2709,303,7035
2632,345,7031
2603,352,7014
2632,302,6998
2654,232,6955
2668,173,6933
2689,103,6910
2740,0,6900
2776,-92,6862
2776,-86,6835
2728,51,6807
2668,259,6802
2604,455,6771
2559,604,6736
2528,691,6689
2523,690,6671
2516,595,6651
2487,474,6638
2428,424,6600
2379,474,6573
2353,560,6536
2343,604,6508
2320,588,6454
2307,561,6409
2316,551,6364
2343,561,6344
2352,583,6311
2343,647,6279
2312,763,6223
2271,906,6181
2221,1030,6136
2199,1121,6115
2199,1169,6082
2199,1164,6050
2164,1118,5993
2127,1078,5952
2112,1059,5910
2127,1035,5886
2123,994,5848
2091,992,5821
2032,1063,5784
1983,1164,5755
1951,1227,5713
1947,1251,5690
1937,1278,5668
1911,1337,5657
1874,1430,5622
1875,1553,5592
1908,1649,5553
1947,1639,5527
1959,1494,5486
1983,1294,5461
2040,1111,5437
2127,949,5428
2205,779,5396
2271,647,5363
2312,626,5320
2307,733,5298
2230,897,5273
2127,1035,5265
2063,1086,5245
2091,1035,5232
2178,894,5208
2271,733,5200
2314,644,5181
2307,690,5167
2267,826,5139
2235,949,5134
2221,970,5132
2235,906,5134
2255,811,5111
2271,733,5101
2262,674,5095
2235,647,5101
2185,675,5091
2127,776,5101
2063,926,5115
2019,1078,5134
1992,1192,5125
1983,1251,5134
1986,1236,5158
2019,1164,5200
2066,1083,5212
2091,1078,5232
2067,1160,5257
2019,1294,5298
1974,1439,5312
1947,1596,5330
1951,1687,5353
2019,1596,5396
2140,1274,5415
2271,863,5428
2379,501,5433
2487,216,5461
2578,-45,5479
2559,-216,5494
2323,-158,5487
1875,216,5494
1295,833,5493
685,1553,5494
100,2235,5472
-397,2803,5461
-771,3207,5445
-1009,3450,5428
-1142,3565,5388
-1190,3623,5363
-1178,3663,5344
-1118,3709,5330
-1028,3764,5281
-901,3838,5232
-743,3886,5188
-541,3838,5167
-308,3661,5131
-36,3407,5101
259,3121,5064
577,2803,5036
881,2460,4993
1154,2156,4971
1362,1945,4951
1514,1811,4938
1606,1737,4899
1658,1768,4873
1678,1932,4850
1694,2156,4840
1727,2298,4804
1802,2286,4774
1925,2130,4749
2091,1898,4742
2275,1644,4711
2451,1423,4676
2593,1220,4642
2704,992,4644
2794,710,4645
2884,431,4644
2964,216,4620
3028,86,4611
3065,8,4606
3100,-43,4611
3136,-87,4592
3172,-129,4578
3179,-164,4567
3172,-173,4578
3180,-163,4578
3244,-173,4578
3331,-219,4569
3389,-259,4578
3371,-232,4579
3316,-129,4578
3272,-28,4556
3280,0,4546
3331,-63,4539
3425,-173,4546
3543,-305,4531
3677,-474,4513
3785,-689,4486
3857,-906,4480
3885,-1059,4476
3893,-1121,4480
3877,-1124,4465
3857,-1121,4447
3850,-1160,4420
3893,-1251,4415
3944,-1344,4412
3929,-1337,4415
3787,-1155,4396
3569,-819,4382
3353,-449,4370
3208,-173,4382
3127,-49,4385
3100,-43,4382
3089,-78,4359
3064,-86,4349
2989,-45,4343
2884,43,4349
2764,167,4335
2668,302,4317
2603,404,4290
2596,431,4284
2607,389,4280
2596,345,4284
2519,391,4269
2415,561,4251
2312,796,4225
2235,992,4218
2166,1084,4215
2127,1078,4218
2115,1021,4202
2127,949,4186
2119,887,4161
2091,863,4153
2054,881,4145
2055,906,4153
2094,876,4153
2163,776,4153
2215,681,4133
2235,690,4120
2197,822,4110
2127,992,4120
2069,1102,4122
2091,1121,4120
2178,1063,4098
2271,949,4088
2318,815,4080
2343,733,4088
2369,732,4085
2379,776,4088
2349,793,4082
2307,776,4088
2301,739,4084
2343,690,4088
2415,590,4083
2523,431,4088
2687,217,4083
2884,0,4088
3025,-159,4084
3028,-173,4088
2877,-30,4082
2632,216,4088
2342,465,4085
2019,690,4088
1633,917,4080
1190,1208,4088
713,1560,4088
252,1941,4088
-164,2299,4065
-505,2631,4055
-773,2949,4047
-973,3278,4055
-1128,3608,4049
-1226,3924,4055
-1272,4195,4060
-1262,4399,4088
-1207,4524,4118
-1081,4571,4186
-885,4536,4271
-613,4399,4382
-301,4144,4484
36,3795,4611
350,3431,4757
613,3148,4938
786,2992,5105
901,2933,5265
1004,2892,5402
1154,2803,5559
1344,2628,5724
1550,2372,5919
1737,2078,6101
1911,1811,6279
2075,1599,6424
2235,1423,6573
2380,1227,6713
2523,992,6867
2678,715,7000
2848,431,7129
2999,174,7236
3100,0,7358
3144,-89,7470
3172,-129,7587
3214,-184,7672
3280,-259,7750
3341,-347,7808
3389,-431,7881
3418,-514,7934
3461,-604,7979
3534,-737,7990
3641,-906,8012
3712,-1013,8025
3677,-906,8045
3514,-568,8028
3316,-173,8012
3176,63,7984
3136,86,7979
3157,-3,7959
3208,-86,7946
3253,-136,7911
3280,-173,7881
3277,-213,7827
3280,-259,7783
3305,-304,7725
3353,-345,7685
3373,-375,7630
3353,-388,7587
3295,-377,7528
3244,-345,7489
3204,-314,7435
3172,-302,7391
3122,-296,7329
3064,-259,7292
2993,-169,7253
2920,-43,7227
2838,91,7173
2776,216,7129
2739,309,7082
2740,345,7064
2752,317,7028
2776,259,6998
2785,207,6952
2776,173,6933
2737,146,6910
2704,129,6900
2689,128,6865
2704,129,6835
2711,114,6792
2704,86,6769
2671,79,6733
2632,129,6704
2578,244,6660
2523,388,6638
2471,495,6606
2451,518,6573
2460,473,6514
2487,431,6475
2488,444,6438
2451,518,6409
2377,633,6353
2307,776,6311
2263,892,6272
2271,906,6246
2316,782,6192
2379,604,6148
2408,504,6106
2379,561,6082
2291,729,6032
2199,906,5984
2139,1011,5928
2127,1035,5886
2128,1013,5829
2127,992,5788
2108,999,5747
2091,1035,5723
2081,1069,5674
2091,1078,5625
2089,1077,5564
2055,1121,5527
1979,1235,5487
1911,1380,5461
1874,1481,5422
1875,1509,5396
1876,1490,5358
1875,1466,5330
1867,1450,5290
1875,1423,5265
1905,1346,5229
1983,1208,5200
2090,1038,5156
2199,906,5134
2259,839,5114
2271,819,5101
2250,802,5064
2235,776,5036
2238,738,5010
2271,690,5003
2312,635,4982
2343,604,4971
2347,613,4952
2343,647,4938
2340,660,4901
2343,647,4873
2332,639,4846
2307,690,4840
2269,792,4820
2235,906,4807
2196,988,4785
2163,1035,4774
2143,1039,4751
2163,992,4742
2202,901,4732
2235,819,4742
2238,782,4739
2235,776,4742
2236,771,4733
2235,776,4742
2205,808,4750
2163,863,4774
2133,908,4788
2127,949,4807
2119,998,4815
2091,1078,4840
2046,1180,4864
2019,1294,4905
2031,1363,4935
2091,1337,4971
2178,1190,4996
2271,992,5036
2334,811,5067
2343,690,5101
2274,605,5115
2127,561,5134
1895,586,5145
1586,733,5167
1205,998,5178
793,1337,5200
380,1688,5204
0,2027,5200
-330,2332,5173
-577,2588,5167
-741,2780,5166
-829,2933,5167
-870,3062,5133
-865,3191,5101
-838,3343,5076
-793,3536,5069
-723,3707,5039
-577,3752,5003
-350,3624,4960
-72,3407,4938
200,3201,4906
469,3019,4873
738,2803,4818
1009,2544,4774
1235,2296,4732
1406,2113,4709
1524,2001,4676
1622,1941,4644
1711,1908,4600
1802,1898,4578
1891,1887,4559
1983,1854,4546
2081,1760,4509
2199,1596,4480
2336,1381,4454
2487,1164,4447
2626,963,4430
2740,776,4415
2830,592,4391
2920,431,4382
3003,306,4365
3064,216,4349
3088,139,4324
3100,86,4317
3095,77,4313
3064,129,4317
2999,220,4311
2956,302,4317
2966,321,4318
3028,259,4317
3095,137,4304
3172,0,4317
3267,-142,4339
3389,-302,4317
3503,-483,4147
3605,-647,3826
3683,-758,3431
3749,-819,3107
3790,-866,2897
3821,-906,2780
3839,-922,2676
3857,-906,2583
3859,-875,2512
3857,-863,2485
3849,-888,2469
3857,-949,2453
3864,-1013,2426
3857,-1035,2420
3803,-984,2419
3713,-863,2420
3606,-713,2401
3533,-604,2387
3510,-612,2379
3533,-733,2387
3523,-835,2386
3425,-733,2387
3231,-399,2382
3028,0,2387
2870,264,2386
2776,345,2387
2727,319,2384
2740,259,2387
2775,197,2385
2776,173,2387
2694,216,2384
2596,302,2387
2536,368,2385
2523,388,2387
2498,404,2384
2451,474,2387
2373,634,2386
2271,863,2387
2135,1093,2383
2019,1251,2387
1953,1308,2389
1947,1294,2387
1947,1252,2369
1947,1208,2355
1948,1165,2347
1983,1121,2355
2041,1059,2356
2127,949,2355
2226,783,2348
2343,604,2355
2439,486,2357
2487,474,2355
2466,549,2335
2415,647,2322
2376,714,2315
2379,733,2322
2409,695,2321
2451,604,2322
2501,478,2318
2559,388,2322
2601,385,2320
2596,474,2322
2549,572,2319
2523,604,2322
2575,517,2319
2704,345,2322
2842,135,2320
2920,-43,2322
2898,-157,2317
2776,-173,2322
2552,-92,2323
2235,86,2322
1830,336,2302
1370,647,2289
889,1007,2282
433,1423,2289
12,1883,2287
-360,2372,2289
-686,2846,2285
-937,3278,2289
-1115,3647,2292
-1226,3968,2322
-1302,4248,2363
-1334,4485,2420
-1301,4638,2471
-1154,4658,2551
-892,4512,2661
-541,4226,2812
-181,3875,2968
144,3536,3139
410,3253,3311
649,3019,3499
860,2824,3685
1045,2674,3891
1184,2582,4101
1298,2544,4317
1400,2542,4502
1514,2544,4676
1641,2493,4836
1802,2329,5003
2002,2016,5146
2235,1596,5265
2475,1143,5346
2704,733,5428
2902,381,5507
3064,86,5592
3187,-162,5657
3280,-345,5723
3336,-464,5773
3353,-518,5821
3332,-518,5848
3316,-474,5886
3324,-431,5920
3353,-431,5952
3364,-471,5951
3353,-474,5952
3325,-394,5948
3316,-259,5952
3336,-145,5933
3389,-86,5919
3445,-105,5899
3497,-216,5886
3531,-417,5851
3569,-647,5821
3595,-848,5785
3605,-992,5755
3584,-1061,5703
3569,-1035,5657
3565,-944,5605
3569,-863,5559
3534,-814,5489
3461,-733,5428
3360,-569,5370
3280,-388,5330
3228,-297,5277
3208,-302,5232
3182,-303,5179
3136,-216,5134
3051,-60,5076
2956,86,5036
2866,173,4998
2812,216,4971
2780,244,4928
2776,259,4905
2783,236,4886
2812,173,4873
2836,107,4834
2848,86,4807
2830,121,4785
2812,173,4774
2802,196,4738
2812,173,4709
2815,122,4685
2812,86,4676
2784,113,4645
2740,216,4611
2677,348,4571
2632,431,4546
2606,420,4509
2596,345,4480
2565,276,4445
2523,259,4415
2478,278,4365
2451,302,4317
2432,305,4262
2415,302,4218
2383,317,4166
2343,388,4120
2296,513,4067
2271,647,4022
2274,714,3969
2307,690,3924
2336,635,3872
2343,647,3826
2310,738,3770
2271,819,3728
2271,803,3690
2343,733,3663
2411,750,3617
2379,949,3564
2213,1276,3504
2019,1596,3466
1890,1828,3432
1838,1984,3401
1799,2066,3349
1766,2027,3303
1761,1823,3261
1802,1509,3237
1857,1192,3205
1911,949,3172
1948,797,3131
1983,733,3107
2020,728,3086
2091,733,3074
2182,703,3053
2271,647,3041
2327,597,3024
2379,561,3009
2445,483,2983
2523,345,2976
2558,224,2975
2523,259,2976
2413,493,2956
2271,819,2943
2137,1076,2939
2055,1208,2943
2030,1257,2926
2055,1294,2910
2081,1327,2901
2091,1337,2910
2092,1286,2911
2127,1164,2910
2188,995,2905
2235,863,2910
2218,856,2909
2163,992,2910
2117,1160,2905
2127,1208,2910
2172,1079,2919
2235,863,2943
2283,674,2960
2307,561,2976
2288,506,2982
2235,518,3009
2169,601,3041
2127,733,3074
2127,844,3087
2163,906,3107
2196,913,3133
2199,906,3172
2175,921,3200
2163,992,3237
2191,1061,3281
2271,1035,3336
2391,851,3371
2523,604,3401
2594,456,3427
2523,518,3466
2276,735,3499
1911,992,3532
1499,1210,3549
1081,1423,3564
637,1689,3564
180,2027,3564
-245,2397,3561
-577,2760,3564
-815,3065,3554
-973,3278,3532
-1069,3384,3493
-1081,3450,3466
-1029,3562,3446
-937,3752,3434
-835,3929,3403
-685,3968,3368
-465,3814,3329
-180,3536,3303
109,3233,3270
397,2933,3237
699,2582,3198
1045,2156,3172
1378,1746,3141
1622,1509,3107
1715,1522,3054
1694,1725,3009
1635,1983,2968
1622,2199,2943
1679,2322,2909
1802,2329,2878
1961,2206,2841
2127,1984,2812
2268,1696,2776
2379,1380,2747
2467,1058,2721
2559,776,2714
2663,555,2710
2776,388,2714
2874,244,2710
2956,129,2714
3015,60,2720
3064,43,2747
3090,58,2776
3100,86,2812
3095,113,2839
3100,129,2878
3112,120,2920
3136,86,2976
3163,26,3024
3208,-43,3074
3258,-109,3118
3316,-173,3172
3376,-273,3220
3461,-431,3270
3555,-601,3305
3641,-690,3336
3701,-686,3351
3785,-690,3368
3925,-810,3382
4110,-1035,3401
4232,-1239,3406
4218,-1294,3401
4052,-1137,3380
3821,-776,3368
3595,-280,3362
3425,216,3368
3312,525,3358
3280,518,3336
3315,206,3297
3389,-259,3270
3432,-710,3249
3425,-1035,3237
3362,-1168,3217
3280,-1078,3205
3185,-825,3188
3100,-561,3172
3039,-419,3147
3028,-388,3139
3027,-359,3138
2992,-259,3139
2900,-117,3120
2812,0,3107
2759,62,3101
2740,86,3107
2696,123,3101
2632,216,3107
2555,361,3120
2487,518,3139
2418,636,3139
2379,690,3139
2382,655,3139
2415,561,3139
2396,536,3120
2271,733,3107
2039,1153,3102
1802,1596,3107
1665,1848,3092
1694,1854,3074
1836,1691,3055
2019,1423,3041
2176,1080,3009
2307,733,2976
2383,507,2948
2379,474,2943
2291,576,2932
2199,690,2910
2168,743,2872
2199,776,2845
2229,845,2825
2235,949,2812
2237,1013,2782
2271,992,2747
2336,883,2707
2415,733,2682
2488,573,2659
2559,431,2649
2642,296,2632
2740,173,2616
2815,61,2592
2812,0,2583
2698,-10,2580
2487,43,2583
2179,182,2568
1766,474,2551
1253,932,2537
721,1466,2551
263,1915,2568
-72,2199,2583
-325,2378,2579
-541,2588,2583
-734,2865,2592
-865,3148,2616
-926,3370,2629
-937,3579,2649
-946,3844,2669
-937,4140,2714
-878,4332,2759
-721,4313,2812
-481,4099,2862
-180,3795,2943
128,3476,3044
433,3148,3172
714,2807,3296
973,2501,3434
1155,2320,3580
1226,2329,3761
1194,2521,3950
1154,2803,4153
1179,2993,4336
1298,2933,4513
1476,2613,4680
1694,2199,4873
1930,1840,5060
2163,1553,5232
2367,1263,5362
2559,949,5494
2765,609,5624
2992,259,5755
3199,-83,5853
3353,-345,5952
3450,-518,6049
3533,-647,6148
3596,-762,6205
3605,-776,6246
3520,-616,6274
3389,-345,6311
3289,-146,6336
3280,-129,6377
3333,-257,6412
3389,-388,6442
3391,-433,6437
3353,-388,6442
3310,-327,6453
3316,-302,6475
3356,-311,6461
3389,-302,6442
3367,-250,6417
3316,-173,6409
3273,-120,6387
3280,-129,6377
3325,-215,6359
3389,-345,6344
3417,-433,6303
3389,-388,6279
3290,-209,6256
3172,0,6246
3063,133,6208
2992,173,6181
2943,171,6156
2920,173,6148
2900,178,6114
2884,173,6082
2868,143,6051
2884,86,6050
2905,33,6036
2884,43,6017
2766,158,5976
2596,345,5952
2453,506,5919
2415,561,5886
2456,513,5829
2523,431,5788
2562,375,5750
2596,345,5723
2641,308,5671
2704,259,5625
2729,223,5571
2704,216,5527
2657,200,5458
2668,129,5396
2738,-6,5335
2812,-129,5298
2794,-124,5247
2668,86,5200
2464,451,5142
2271,819,5101
2153,1035,5052
2163,1035,5003
2275,851,4934
2415,604,4873
2475,461,4811
2415,561,4774
2268,872,4736
2127,1208,4709
2050,1371,4671
2055,1337,4644
2093,1213,4607
2127,1121,4578
2119,1111,4538
2091,1164,4513
2068,1206,4488
2091,1164,4480
2136,1042,4461
2163,949,4447
2117,988,4425
2019,1164,4415
1908,1383,4397
1838,1553,4382
1807,1621,4348
1802,1596,4317
1798,1524,4278
1802,1466,4251
1821,1421,4217
1875,1337,4186
1944,1192,4137
2019,1035,4088
2088,896,4031
2163,776,3990
2212,706,3942
2199,776,3891
2112,997,3822
2019,1251,3761
1970,1397,3695
1983,1423,3630
2023,1381,3544
2091,1294,3466
2168,1148,3394
2235,992,3336
2262,892,3266
2271,863,3205
2282,826,3148
2307,733,3107
2328,613,3054
2343,561,3009
2329,610,2967
2271,733,2943
2171,882,2911
2091,1035,2878
2082,1132,2835
2163,1078,2812
2286,836,2801
2415,518,2812
2503,302,2815
2523,302,2812
2440,513,2791
2271,863,2780
2080,1219,2772
1947,1466,2780
1880,1565,2787
1838,1596,2812
1789,1624,2841
1766,1639,2878
1800,1579,2904
1875,1466,2943
1949,1358,2987
2019,1294,3041
2090,1230,3086
2163,1121,3139
2240,932,3189
2343,690,3237
2434,447,3266
2415,302,3303
2205,328,3347
1838,561,3401
1384,954,3435
901,1423,3466
426,1851,3495
36,2156,3532
-237,2329,3552
-433,2458,3564
-628,2639,3563
-829,2933,3564
-1015,3315,3560
-1154,3709,3564
-1225,3986,3564
-1190,4097,3564
-1066,4143,3547
-901,4269,3532
-724,4408,3512
-469,4313,3499
-103,3879,3479
324,3321,3466
705,2885,3448
1009,2588,3434
1248,2314,3409
1442,2070,3401
1573,1934,3398
1658,1898,3401
1726,1873,3384
1802,1854,3368
1875,1874,3356
1947,1898,3368
2042,1806,3381
2199,1553,3401
2404,1206,3413
2596,906,3434
2696,744,3448
2704,733,3466
2679,780,3476
2704,776,3499
2787,669,3525
2884,518,3564
2929,408,3587
2920,388,3597
2886,420,3589
2884,431,3597
2919,373,3611
2992,259,3630
3077,124,3629
3172,0,3630
3253,-113,3628
3316,-216,3630
3353,-310,3614
3389,-388,3597
3430,-453,3576
3497,-518,3564
3578,-611,3544
3677,-733,3532
3753,-824,3515
3785,-819,3499
3769,-755,3464
3785,-776,3434
3888,-1006,3408
4074,-1380,3401
4218,-1674,3385
4218,-1682,3368
4042,-1388,3345
3785,-949,3336
3546,-556,3320
3389,-302,3303
3292,-188,3276
3244,-173,3270
3226,-212,3270
3244,-259,3270
3259,-290,3248
3244,-302,3237
3180,-287,3235
3100,-216,3237
3011,-90,3218
2920,43,3205
2826,136,3200
2776,173,3205
2778,130,3189
2812,0,3172
2805,-126,3154
2740,-86,3139
2617,166,3104
2487,474,3074
2382,656,3052
2343,690,3041
2344,690,3011
2343,733,2976
2288,811,2938
2199,906,2910
2099,1025,2875
2019,1164,2845
1941,1292,2820
1875,1380,2812
1821,1431,2797
1802,1466,2780
1797,1486,2755
1802,1466,2747
1826,1385,2745
1911,1251,2747
2037,1095,2731
2163,949,2714
2243,826,2702
2307,733,2714
2367,673,2730
2415,647,2747
2429,634,2746
2451,604,2747
2521,497,2744
2632,302,2747
2722,82,2743
2740,0,2747
2647,168,2745
2451,561,2747
2233,966,2741
2127,1164,2747
2205,1051,2749
2415,733,2747
2643,378,2725
2812,129,2714
2878,7,2711
2812,0,2714
2607,78,2697
2307,259,2682
1936,557,2672
1478,992,2682
918,1532,2681
324,2113,2682
-218,2628,2675
-649,3019,2682
-964,3295,2688
-1154,3536,2714
-1251,3792,2750
-1298,4054,2812
-1328,4278,2883
-1298,4442,2976
-1188,4518,3068
-1009,4485,3172
-808,4350,3273
-577,4183,3401
-325,4055,3541
-72,3968,3695
137,3866,3830
324,3709,3957
504,3514,4067
685,3321,4186
846,3146,4306
1009,2976,4447
1193,2777,4582
1406,2544,4709
1624,2286,4806
1838,2027,4905
2042,1768,5001
2235,1509,5101
2407,1243,5173
2559,992,5232
2682,774,5277
2776,604,5330
2860,428,5367
2992,173,5396
3203,-213,5407
3461,-647,5428
3642,-951,5444
3641,-949,5461
3445,-635,5458
3172,-173,5461
2958,200,5458
2884,345,5461
2934,259,5443
3064,43,5428
3206,-200,5406
3316,-388,5396
3358,-482,5374
3353,-474,5363
3325,-419,5345
3316,-388,5330
3330,-424,5295
3389,-518,5265
3484,-655,5229
3605,-819,5200
3684,-940,5149
3677,-906,5101
3558,-686,5046
3389,-388,5003
3229,-155,4950
3136,-43,4905
3089,-7,4851
3064,0,4807
3027,-4,4752
2992,0,4709
2964,19,4666
2956,43,4644
2944,61,4610
2920,86,4578
2867,132,4535
2812,173,4513
2772,160,4493
2776,86,4480
2797,10,4444
2812,0,4415
2799,47,4388
2812,43,4382
2897,-137,4366
3064,-474,4349
3195,-758,4315
3172,-733,4284
2965,-353,4243
2704,173,4218
2518,567,4197
2451,733,4186
2424,760,4154
2379,776,4120
2309,812,4080
2271,819,4055
2284,744,4023
2343,604,3990
2388,492,3937
2379,518,3891
2290,699,3849
2163,949,3826
2053,1138,3795
2019,1208,3761
2044,1181,3709
2091,1121,3663
2113,1067,3612
2127,1035,3564
2141,1027,3499
2163,1035,3434
2175,1022,3361
2199,949,3303
2235,825,3247
2271,733,3205
2262,742,3156
2199,863,3107
2083,1059,3049
1947,1294,3009
1821,1501,2974
1766,1596,2943
1798,1530,2893
1911,1337,2845
2056,1076,2803
2199,819,2780
2263,679,2749
2199,776,2714
2019,1077,2672
1838,1380,2649
1750,1502,2632
1766,1466,2616
1818,1405,2582
1875,1380,2551
1936,1338,2516
2019,1251,2485
2088,1148,2445
2127,1078,2420
2139,1032,2402
2163,992,2387
2190,956,2353
2199,949,2322
2175,962,2300
2163,949,2289
2198,850,2260
2271,690,2224
2309,582,2193
2271,647,2191
2165,870,2193
2055,1121,2191
1976,1267,2171
1947,1294,2158
1949,1257,2152
1983,1208,2158
2020,1161,2157
2055,1121,2158
2081,1072,2156
2127,992,2158
2189,884,2154
2235,819,2158
2223,844,2159
2163,949,2158
2094,1066,2149
2055,1164,2158
2038,1232,2176
2019,1294,2191
1982,1370,2185
1947,1466,2191
1955,1485,2216
2055,1294,2256
2261,833,2277
2523,259,2289
2714,-185,2300
2704,-302,2322
2457,-82,2336
2055,388,2355
1582,981,2380
1081,1596,2420
569,2124,2445
108,2501,2453
-259,2728,2446
-541,2889,2453
-792,3052,2467
-1009,3234,2485
-1165,3399,2486
-1226,3536,2485
-1217,3639,2483
-1154,3709,2485
-1051,3726,2472
-901,3709,2453
-730,3687,2429
-541,3666,2420
-316,3571,2407
0,3321,2387
400,2918,2351
829,2458,2322
1190,2041,2299
1442,1725,2289
1558,1577,2272
1550,1682,2256
1461,2023,2237
1406,2415,2224
1470,2615,2206
1658,2544,2191
1880,2329,2172
2055,2156,2158
2152,2080,2139
2199,2027,2126
2237,1886,2108
2307,1639,2093
2419,1330,2073
2559,1035,2060
2686,786,2044
2776,604,2027
2821,477,2003
2848,388,1995
2873,283,1994
2920,129,1995
