II,aVR,ABP,RESP
405,6611,5006,2251
364,6658,5085,2244
331,6692,5163,2251
318,6727,5243,2269
315,6732,5297,2271
318,6727,5361,2269
315,6689,5425,2266
318,6658,5479,2269
320,6635,5495,2265
318,6658,5519,2269
310,6688,5555,2280
318,6727,5598,2295
341,6733,5601,2296
364,6727,5598,2295
366,6691,5594,2293
364,6658,5598,2295
377,6611,5575,2290
409,6589,5558,2295
439,6574,5541,2306
455,6589,5519,2321
456,6588,5458,2320
455,6589,5401,2321
451,6573,5355,2328
455,6589,5322,2347
482,6597,5250,2351
545,6589,5164,2347
624,6520,5074,2338
682,6450,5006,2347
708,6392,4927,2359
727,6381,4849,2373
753,6372,4762,2373
773,6381,4691,2373
773,6375,4610,2369
773,6381,4533,2373
792,6370,4448,2371
818,6381,4376,2373
814,6380,4295,2370
773,6381,4218,2373
721,6360,4130,2371
682,6381,4060,2373
643,6435,3995,2370
591,6519,3942,2373
546,6543,3877,2370
545,6519,3824,2373
565,6481,3775,2370
545,6519,3745,2373
484,6575,3704,2370
455,6589,3666,2373
484,6529,3621,2370
500,6519,3587,2373
442,6579,3545,2370
364,6658,3508,2373
342,6661,3463,2370
364,6658,3430,2373
357,6683,3400,2370
318,6727,3390,2373
282,6722,3373,2371
273,6727,3351,2373
254,6783,3307,2369
227,6866,3272,2373
195,6887,3244,2371
182,6866,3232,2373
173,6845,3212,2368
182,6866,3193,2373
208,6864,3168,2374
227,6866,3154,2373
239,6857,3132,2357
273,6866,3114,2347
300,6852,3089,2341
227,6866,3075,2347
76,6880,3055,2346
0,6866,3035,2347
97,6721,3007,2343
409,6381,2996,2347
1145,5656,2992,2345
2454,4508,2996,2347
3897,3167,2980,2344
4772,2081,2956,2347
5144,1358,2928,2345
5727,971,2917,2347
6417,1225,2900,2344
5954,2774,2878,2347
3703,5502,2846,2345
864,8253,2838,2347
-936,9808,2840,2344
-1500,10126,2838,2347
-1681,9887,2812,2345
-1863,9571,2799,2347
-1784,9129,2798,2344
-1409,8600,2799,2347
-1066,8137,2775,2345
-864,7837,2759,2347
-636,7577,2757,2344
-364,7351,2759,2347
-191,7195,2737,2346
-136,7143,2720,2347
-98,7105,2717,2343
-45,7074,2720,2347
-35,7054,2698,2348
-45,7074,2681,2347
-36,7084,2676,2331
0,7074,2681,2321
10,7052,2661,2316
0,7074,2641,2321
0,7095,2634,2319
45,7074,2641,2321
114,6976,2626,2319
136,6935,2602,2321
73,6979,2587,2317
-45,7074,2602,2321
-120,7092,2611,2323
-91,7074,2602,2321
-3,7055,2572,2304
45,7074,2562,2295
25,7071,2563,2293
0,7074,2562,2295
18,7069,2538,2281
45,7074,2523,2269
33,7057,2520,2265
0,7074,2523,2269
-11,7109,2501,2259
0,7143,2483,2244
2,7112,2478,2226
0,7074,2483,2218
16,7054,2465,2205
45,7074,2444,2192
69,7054,2432,2176
91,7005,2444,2166
114,6944,2445,2152
136,6935,2444,2141
165,6920,2446,2125
227,6866,2483,2115
310,6747,2535,2101
364,6658,2602,2089
374,6611,2666,2072
409,6589,2759,2063
525,6498,2868,2051
682,6381,2996,2037
788,6274,3121,2011
818,6242,3272,1986
826,6232,3439,1958
864,6242,3627,1934
906,6235,3800,1904
909,6242,3981,1883
878,6235,4158,1867
864,6242,4336,1857
888,6234,4491,1835
909,6242,4652,1805
867,6254,4808,1773
773,6311,4967,1754
706,6359,5102,1732
727,6381,5243,1702
778,6361,5381,1659
773,6381,5519,1625
736,6401,5622,1598
773,6381,5716,1573
862,6305,5795,1534
864,6311,5874,1496
746,6395,5928,1465
682,6450,5992,1444
766,6374,6052,1411
864,6311,6110,1367
822,6352,6131,1320
727,6450,6150,1289
728,6448,6164,1265
818,6381,6189,1238
895,6300,6189,1198
954,6242,6189,1161
1020,6174,6183,1130
1045,6172,6189,1109
990,6220,6171,1084
954,6242,6150,1057
1038,6158,6120,1030
1182,6103,6110,1006
1223,6150,6091,979
1136,6242,6071,954
1056,6210,6028,928
1091,6103,5992,903
1162,6040,5947,875
1136,6103,5913,851
1029,6172,5867,826
1000,6172,5834,799
1110,6087,5792,769
1227,6034,5755,748
1205,6062,5695,736
1091,6172,5637,722
1028,6224,5571,696
1045,6172,5519,671
1034,6077,5445,653
954,6103,5361,645
899,6204,5254,632
954,6242,5164,619
1038,6145,5079,606
1000,6103,5006,593
826,6211,4911,569
682,6381,4809,542
685,6420,4687,522
773,6381,4573,516
774,6400,4459,509
682,6519,4376,490
616,6585,4297,461
682,6519,4218,438
777,6398,4113,426
773,6381,4021,413
651,6467,3947,388
545,6589,3903,361
564,6602,3845,344
682,6519,3784,335
780,6399,3715,324
773,6381,3666,309
675,6434,3620,295
545,6519,3587,284
420,6582,3545,271
409,6589,3508,258
787,6232,3463,244
1773,5271,3430,232
3176,3886,3390,219
4500,2635,3351,206
5466,1645,3301,193
6181,694,3272,181
6649,-26,3250,167
6499,416,3232,155
5444,2444,3191,142
3727,5271,3154,129
1849,7630,3123,115
136,9085,3114,103
-1197,9823,3096,92
-1863,9987,3075,77
-1780,9538,3048,61
-1318,8808,3035,52
-968,8242,3017,51
-818,7976,2996,52
-637,7736,2966,43
-318,7421,2956,26
-26,7147,2955,10
91,7074,2956,0
93,7096,2936,-3
136,7074,2917,0
244,6952,2895,3
318,6866,2878,0
270,6897,2850,-12
182,7005,2838,-26
159,7045,2836,-31
227,7005,2838,-26
269,6961,2818,-21
227,7005,2799,-26
151,7059,2791,-39
136,7074,2799,-52
202,7001,2787,-55
273,6935,2759,-52
281,6902,2727,-49
227,6935,2720,-52
177,6967,2721,-54
182,7005,2720,-52
219,7028,2698,-48
227,7074,2681,-52
184,7090,2673,-65
136,7074,2681,-77
135,7019,2668,-81
182,7005,2641,-77
226,7026,2607,-76
227,7074,2602,-77
183,7081,2605,-78
136,7074,2602,-77
130,7040,2576,-77
182,7005,2562,-77
259,6933,2560,-78
318,6866,2562,-77
340,6792,2540,-77
364,6727,2523,-77
431,6623,2515,-77
545,6519,2523,-77
657,6426,2518,-77
727,6381,2523,-77
764,6323,2535,-77
818,6242,2562,-77
919,6121,2576,-78
1045,6034,2602,-77
1143,5978,2644,-77
1182,5964,2720,-77
1168,5947,2795,-79
1136,5964,2878,-77
1109,5992,2962,-75
1091,6034,3075,-77
1071,6053,3191,-81
1045,6103,3311,-77
1017,6170,3420,-64
1000,6242,3548,-52
999,6252,3683,-49
1000,6242,3824,-52
971,6227,3941,-52
909,6242,4060,-52
855,6239,4176,-53
864,6242,4297,-52
920,6234,4395,-40
954,6242,4494,-26
921,6234,4588,-20
864,6242,4691,-26
842,6240,4773,-31
864,6242,4849,-26
877,6226,4907,-12
864,6242,4967,0
837,6269,5018,4
818,6311,5085,0
796,6335,5148,-4
773,6381,5203,0
770,6404,5224,13
818,6381,5243,26
895,6291,5258,30
954,6242,5282,26
961,6259,5284,21
954,6311,5282,26
979,6295,5274,39
1045,6242,5282,52
1082,6208,5281,56
1045,6242,5282,52
972,6262,5265,48
954,6242,5243,52
1005,6182,5201,64
1045,6172,5164,77
1019,6198,5120,83
954,6242,5085,77
914,6242,5040,71
909,6242,5006,77
946,6219,4966,92
1045,6172,4927,103
1205,6048,4867,103
1364,5895,4809,103
1506,5709,4746,114
1727,5479,4691,129
2116,5105,4615,134
2591,4647,4533,129
2930,4240,4443,124
2954,4092,4376,129
2632,4200,4313,141
2000,4508,4257,155
1090,4936,4180,167
-45,5548,4100,181
-1259,6288,4011,194
-2273,7005,3942,206
-2827,7489,3876,218
-2909,7768,3824,232
-2832,7948,3762,247
-2909,8114,3705,258
-3066,8144,3640,267
-2909,7976,3587,284
-2267,7674,3538,302
-1454,7490,3508,309
-929,7545,3470,305
-818,7837,3430,309
-980,8227,3379,333
-1273,8669,3351,361
-1613,9082,3329,376
-1818,9363,3311,387
-1699,9327,3270,408
-1227,8947,3232,438
-593,8320,3203,465
0,7698,3193,490
418,7254,3173,515
636,7074,3154,542
718,7033,3128,564
773,7005,3114,593
852,6912,3093,630
909,6866,3075,671
902,6904,3050,700
864,7005,3035,722
849,7036,3015,745
864,7005,2996,774
884,6945,2969,801
909,6935,2956,825
936,6935,2951,848
954,6935,2956,877
963,6895,2943,904
1000,6866,2917,928
1071,6845,2884,949
1136,6866,2878,980
1162,6874,2880,1018
1182,6866,2878,1057
1245,6802,2851,1085
1364,6727,2838,1109
1509,6645,2837,1133
1682,6589,2838,1161
1883,6500,2814,1185
2091,6381,2799,1212
2251,6223,2795,1239
2363,6103,2799,1264
2475,6000,2777,1277
2636,5895,2759,1289
2820,5741,2752,1308
2954,5618,2759,1341
2998,5552,2752,1371
3000,5548,2759,1393
3029,5499,2787,1403
3091,5410,2838,1418
3102,5323,2875,1441
3000,5340,2917,1470
2814,5410,2965,1487
2636,5479,3035,1496
2491,5492,3104,1502
2318,5548,3193,1522
2062,5687,3297,1547
1773,5895,3430,1573
1543,6020,3562,1588
1409,6034,3705,1599
1297,6008,3842,1608
1136,6103,3981,1625
935,6285,4098,1638
773,6450,4218,1651
657,6517,4343,1659
545,6589,4494,1676
425,6679,4626,1692
364,6727,4730,1702
368,6654,4800,1700
364,6589,4888,1702
306,6620,4988,1711
273,6727,5085,1728
300,6759,5145,1740
318,6727,5203,1754
254,6695,5263,1766
182,6727,5322,1779
184,6763,5342,1780
227,6797,5361,1779
219,6801,5391,1784
182,6797,5440,1805
197,6756,5465,1823
273,6727,5479,1831
325,6712,5479,1825
318,6727,5479,1831
298,6725,5457,1844
318,6727,5440,1857
357,6718,5419,1854
364,6727,5401,1857
332,6722,5347,1868
318,6727,5282,1883
356,6719,5212,1881
409,6727,5164,1883
412,6722,5108,1892
364,6727,5046,1908
317,6718,4961,1910
318,6727,4888,1908
358,6725,4810,1905
409,6727,4730,1908
454,6697,4627,1905
500,6658,4533,1908
560,6584,4445,1918
636,6519,4376,1934
689,6478,4294,1937
682,6519,4218,1934
641,6573,4135,1930
636,6589,4060,1934
674,6534,3973,1934
682,6519,3903,1934
619,6551,3837,1931
545,6589,3784,1934
528,6549,3719,1934
545,6519,3666,1934
537,6534,3619,1930
500,6589,3587,1934
470,6593,3544,1936
455,6589,3508,1934
434,6583,3467,1919
409,6589,3430,1908
388,6565,3380,1904
364,6589,3351,1908
332,6656,3329,1907
318,6727,3311,1908
340,6705,3269,1908
364,6658,3232,1908
328,6652,3204,1896
227,6727,3193,1883
139,6781,3171,1875
136,6797,3154,1883
185,6795,3133,1887
182,6866,3114,1883
75,6978,3074,1865
-45,7074,3035,1857
-102,7091,3004,1855
-91,7074,2996,1857
-88,7061,2979,1845
-91,7074,2956,1831
-78,7068,2926,1823
-45,7074,2917,1831
-29,7067,2916,1836
-45,7074,2917,1831
-71,7060,2898,1813
-91,7074,2878,1805
-103,7075,2855,1804
-136,7074,2838,1805
-208,7058,2813,1793
-273,7074,2799,1779
-167,6965,2793,1772
318,6519,2799,1779
1261,5588,2785,1783
2500,4369,2759,1779
3729,3131,2728,1764
4727,2081,2720,1754
5442,1268,2719,1748
5818,971,2720,1754
5599,1633,2700,1756
4500,3537,2681,1754
2619,6188,2669,1740
545,8600,2681,1728
-1063,9972,2687,1721
-1954,10334,2681,1728
-2279,10138,2654,1731
-2273,9779,2641,1728
-2074,9311,2639,1712
-1773,8808,2641,1702
-1446,8355,2622,1698
-1136,8045,2602,1702
-857,7806,2590,1700
-636,7629,2602,1702
-506,7507,2607,1702
-455,7490,2602,1702
-436,7501,2578,1689
-409,7490,2562,1676
-382,7416,2554,1669
-364,7351,2562,1676
-366,7328,2565,1680
-364,7351,2562,1676
-350,7357,2541,1660
-318,7351,2523,1651
-289,7334,2513,1646
-273,7351,2523,1651
-266,7350,2528,1650
-273,7351,2523,1651
-290,7335,2498,1648
-318,7351,2483,1651
-330,7354,2478,1648
-318,7351,2483,1651
-302,7327,2481,1650
-318,7351,2483,1651
-356,7392,2483,1646
-364,7421,2483,1651
-320,7381,2464,1661
-273,7351,2444,1676
-275,7362,2432,1679
-318,7421,2444,1676
-356,7437,2450,1670
-364,7421,2444,1676
-348,7374,2417,1687
-318,7351,2405,1702
-289,7335,2400,1705
-273,7351,2405,1702
-263,7339,2398,1695
-227,7282,2405,1702
-157,7161,2418,1716
-91,7074,2444,1728
-62,7027,2456,1726
-45,7005,2483,1728
3,6934,2526,1736
91,6866,2602,1754
188,6797,2686,1765
273,6727,2799,1779
344,6608,2926,1793
409,6519,3075,1805
476,6487,3221,1804
545,6519,3390,1805
606,6525,3565,1812
636,6519,3745,1831
637,6504,3910,1844
636,6519,4100,1857
656,6518,4299,1866
682,6519,4494,1883
679,6508,4649,1895
636,6519,4809,1908
580,6516,4982,1918
545,6519,5164,1934
539,6507,5307,1948
545,6519,5440,1960
547,6519,5572,1960
545,6519,5716,1960
544,6500,5824,1965
545,6519,5913,1986
544,6551,5986,2003
545,6589,6071,2012
547,6585,6136,2006
545,6589,6189,2012
538,6590,6221,2024
545,6589,6268,2037
592,6525,6309,2035
682,6450,6347,2037
771,6387,6350,2048
818,6381,6347,2063
820,6377,6336,2063
818,6381,6347,2063
836,6368,6347,2071
864,6381,6347,2089
871,6383,6323,2093
864,6381,6307,2089
861,6340,6282,2081
864,6311,6268,2089
838,6290,6241,2100
773,6311,6228,2115
702,6337,6206,2117
682,6381,6189,2115
721,6390,6148,2108
773,6381,6110,2115
775,6354,6063,2126
727,6381,6031,2141
681,6424,5989,2141
682,6450,5952,2141
700,6405,5895,2137
682,6381,5834,2141
625,6419,5751,2140
591,6519,5676,2141
609,6555,5593,2137
636,6519,5519,2141
612,6466,5432,2140
545,6519,5361,2141
481,6635,5282,2136
455,6727,5203,2141
433,6731,5100,2142
409,6727,5006,2141
376,6757,4907,2125
364,6797,4809,2115
357,6773,4686,2110
364,6727,4573,2115
384,6693,4465,2112
409,6727,4376,2115
418,6746,4283,2115
409,6727,4218,2115
393,6682,4160,2100
364,6727,4100,2089
323,6775,4010,2083
273,6727,3942,2089
198,6606,3896,2088
227,6519,3863,2089
746,6113,3801,2087
2000,4993,3745,2089
3550,3471,3700,2085
4636,2427,3666,2089
5166,1883,3603,2090
5727,1110,3548,2089
6341,257,3515,2073
6045,902,3508,2063
4242,3731,3476,2059
1773,7213,3430,2063
-51,9300,3377,2059
-909,9848,3351,2063
-1339,9909,3327,2073
-1636,9918,3311,2089
-1660,9495,3287,2091
-1409,8739,3272,2089
-1117,8156,3249,2085
-864,7906,3232,2089
-569,7657,3209,2088
-273,7351,3193,2089
-103,7158,3171,2086
-45,7143,3154,2089
10,7127,3129,2087
91,7074,3114,2089
133,7021,3093,2086
136,7005,3075,2089
129,6988,3048,2087
136,7005,3035,2089
135,7044,3030,2087
136,7074,3035,2089
133,7041,3021,2087
136,7005,2996,2089
151,6982,2964,2087
182,7005,2956,2089
218,7004,2957,2087
227,7005,2956,2089
205,6992,2934,2087
182,7005,2917,2089
193,7002,2910,2087
227,7005,2917,2089
245,6991,2903,2087
227,7005,2878,2089
195,7026,2846,2087
182,7074,2838,2089
198,7090,2837,2087
227,7074,2838,2089
239,7020,2819,2087
227,7005,2799,2089
213,7008,2773,2087
227,7005,2759,2089
271,6936,2749,2087
318,6866,2759,2089
345,6813,2764,2087
364,6797,2759,2089
396,6760,2731,2087
455,6727,2720,2089
523,6668,2729,2087
591,6589,2759,2089
655,6468,2776,2087
727,6381,2799,2089
813,6313,2827,2087
909,6242,2878,2089
991,6119,2927,2086
1045,6034,2996,2089
1072,6009,3080,2087
1091,6034,3193,2089
1100,6026,3306,2086
1091,6034,3430,2089
1063,6079,3555,2089
1045,6172,3705,2089
1047,6223,3859,2083
1045,6242,4021,2089
1010,6253,4161,2100
954,6311,4297,2115
914,6340,4424,2116
909,6311,4573,2115
916,6237,4716,2111
909,6242,4849,2115
883,6313,4948,2113
864,6381,5046,2115
858,6351,5140,2114
864,6311,5243,2115
864,6319,5324,2110
864,6381,5401,2115
862,6396,5460,2125
864,6381,5519,2141
858,6363,5557,2142
864,6381,5598,2141
891,6363,5632,2136
954,6311,5676,2141
1027,6248,5699,2139
1091,6242,5716,2141
1123,6252,5723,2138
1136,6242,5755,2141
1121,6188,5782,2139
1091,6172,5795,2141
1064,6205,5771,2138
1091,6242,5755,2141
1154,6200,5748,2138
1227,6103,5755,2141
1292,5994,5737,2138
1409,5895,5716,2141
1586,5769,5689,2138
1773,5618,5676,2141
1931,5421,5641,2138
2091,5202,5598,2141
2303,4929,5546,2138
2545,4647,5519,2141
2768,4354,5485,2138
2954,4092,5440,2141
3135,3794,5359,2138
3318,3468,5282,2141
3492,3148,5212,2138
3681,2913,5164,2141
3980,2604,5095,2139
4454,2081,5006,2141
5023,1397,4895,2138
5545,832,4809,2141
5961,336,4730,2139
6181,-277,4652,2141
5822,-801,4546,2138
4409,-416,4454,2141
2018,1270,4370,2139
-500,3676,4297,2141
-2220,5740,4208,2136
-2909,7074,4139,2141
-2983,7915,4079,2149
-2909,8530,4021,2166
-2889,8784,3933,2170
-2909,8600,3863,2166
-2827,8156,3815,2157
-2454,7837,3784,2166
-1804,7796,3724,2181
-1136,7976,3666,2192
-708,8171,3617,2187
-500,8322,3587,2192
-372,8427,3542,2204
-273,8530,3508,2218
-251,8585,3483,2215
-273,8600,3469,2218
-283,8587,3429,2229
-273,8600,3390,2244
-304,8624,3360,2241
-364,8669,3351,2244
-405,8703,3331,2254
-409,8739,3311,2269
-412,8754,3286,2267
-455,8808,3272,2269
-523,8869,3249,2280
-591,8947,3232,2295
-639,8997,3210,2294
-682,9085,3193,2295
-728,9185,3166,2305
-773,9293,3154,2321
-804,9356,3149,2320
-818,9432,3154,2321
-826,9505,3138,2329
-818,9571,3114,2347
-787,9572,3084,2349
-727,9571,3075,2347
-648,9569,3071,2342
-545,9571,3075,2347
-423,9510,3059,2345
-273,9432,3035,2347
-90,9332,3004,2345
136,9224,2996,2347
387,9057,2995,2343
636,8877,2996,2347
877,8673,2974,2348
1136,8461,2956,2347
1416,8206,2946,2331
1682,7976,2956,2321
1901,7763,2957,2316
2091,7560,2956,2321
2279,7288,2948,2312
2454,7005,2956,2295
2567,6749,2969,2274
2591,6589,2996,2269
2553,6466,3023,2269
2500,6381,3075,2269
2432,6292,3141,2257
2318,6242,3232,2244
2157,6197,3314,2227
2000,6172,3390,2218
1878,6108,3455,2204
1773,6034,3548,2192
1657,5960,3659,2177
1545,5964,3784,2166
1452,6000,3886,2152
1364,6034,3981,2141
1262,6020,4071,2125
1182,6034,4179,2115
1145,6050,4278,2100
1136,6034,4376,2089
1114,5944,4453,2074
1091,5895,4533,2063
1083,5915,4608,2049
1091,5964,4691,2037
1088,5940,4756,2022
1091,5895,4809,2012
1094,5874,4842,1998
1091,5895,4888,1986
1076,5890,4931,1969
1091,5895,4967,1960
1126,5920,4969,1949
1136,5964,4967,1934
1102,5946,4961,1906
1091,5895,4967,1883
1133,5859,4962,1866
1182,5895,4967,1857
1184,5924,4967,1834
1182,5895,4967,1805
1208,5799,4945,1774
1227,5756,4927,1754
1200,5799,4906,1731
1182,5895,4888,1702
1218,5927,4847,1661
1273,5895,4809,1625
1284,5814,4767,1594
1273,5756,4730,1573
1259,5746,4671,1548
1227,5826,4612,1522
1177,5903,4549,1492
1182,5895,4494,1470
1245,5791,4416,1447
1273,5756,4336,1418
1217,5823,4250,1378
1182,5895,4179,1341
1241,5841,4099,1312
1318,5756,4021,1289
1311,5729,3934,1256
1273,5756,3863,1212
1295,5728,3796,1166
1364,5687,3745,1135
1388,5690,3684,1110
1364,5756,3627,1083
1348,5780,3560,1043
1364,5756,3508,1006
1371,5703,3461,976
1364,5687,3430,954
1361,5696,3390,929
1364,5756,3351,903
1323,5828,3302,876
1227,5895,3272,851
1124,5903,3248,824
1091,5895,3232,799
1131,5882,3196,774
1182,5895,3154,748
1179,5893,3105,717
1136,5895,3075,696
1100,5884,3050,684
1091,5895,3035,671
1078,5913,3013,644
1045,5964,2996,619
997,6004,2973,602
954,6034,2956,593
912,6045,2934,580
864,6103,2917,567
809,6181,2894,555
773,6242,2878,542
731,6263,2854,524
682,6311,2838,516
643,6372,2816,517
682,6381,2799,516
752,6319,2775,501
773,6311,2759,490
717,6378,2739,490
682,6450,2720,490
722,6399,2693,476
773,6311,2681,464
754,6286,2677,464
682,6381,2681,464
615,6434,2665,451
545,6381,2641,438
451,6275,2612,438
500,6172,2602,438
1041,5729,2598,426
2227,4647,2602,413
3678,3200,2587,411
4818,2081,2562,413
5536,1294,2531,401
6181,347,2523,387
6770,-526,2524,383
6681,0,2523,387
5423,2495,2500,379
3363,5756,2483,361
1335,8098,2479,344
-182,9224,2483,335
-1164,9728,2466,325
-1636,9848,2444,309
-1620,9379,2431,294
-1318,8600,2444,284
-988,8006,2452,274
-682,7698,2444,258
-346,7382,2417,232
-45,7074,2405,206
105,6928,2402,190
136,6935,2405,181
152,6904,2386,170
182,6866,2365,155
195,6871,2353,139
227,6866,2365,129
282,6774,2372,120
318,6727,2365,103
294,6793,2340,78
273,6866,2326,52
264,6828,2321,34
227,6797,2326,26
165,6829,2322,17
182,6866,2326,0
296,6785,2328,-26
364,6727,2326,-52
304,6772,2304,-69
227,6866,2286,-77
253,6849,2279,-85
318,6797,2286,-103
313,6799,2285,-130
273,6866,2286,-155
285,6876,2286,-170
318,6866,2286,-181
264,6901,2267,-192
136,7005,2247,-206
58,7047,2236,-219
91,7005,2247,-232
149,6928,2252,-245
136,6935,2247,-258
70,6984,2223,-270
45,7005,2208,-284
89,6933,2199,-299
136,6866,2208,-309
134,6847,2207,-311
136,6866,2208,-309
220,6798,2200,-317
364,6658,2208,-335
455,6529,2219,-354
455,6519,2247,-361
449,6530,2275,-359
545,6450,2326,-361
709,6252,2389,-373
818,6103,2483,-387
836,6050,2590,-391
864,6034,2720,-387
971,5949,2851,-384
1091,5895,2996,-387
1124,5935,3142,-389
1091,6034,3311,-387
1072,6037,3484,-383
1091,5964,3666,-387
1116,5888,3838,-399
1136,5895,4021,-413
1138,5945,4199,-416
1091,6034,4376,-413
1016,6093,4530,-410
1000,6103,4691,-413
1058,6050,4849,-415
1091,6034,5006,-413
1028,6061,5131,-409
954,6103,5243,-413
970,6094,5339,-418
1045,6103,5440,-413
1062,6158,5521,-396
1000,6242,5598,-387
941,6241,5657,-396
954,6172,5716,-413
996,6117,5755,-418
1000,6172,5795,-413
964,6245,5817,-408
954,6242,5834,-413
981,6165,5831,-416
1000,6172,5834,-413
1001,6242,5832,-408
1045,6242,5834,-413
1134,6105,5814,-426
1182,6034,5795,-438
1138,6122,5768,-441
1091,6242,5755,-438
1119,6183,5732,-436
1182,6034,5716,-438
1205,5948,5691,-439
1227,5964,5676,-438
1295,5946,5641,-437
1364,5895,5598,-438
1348,5842,5532,-439
1273,5826,5479,-438
1210,5822,5431,-437
1182,5895,5401,-438
1155,5995,5348,-439
1136,6034,5282,-438
1148,5951,5195,-436
1182,5895,5125,-438
1196,5920,5060,-442
1182,5964,5006,-438
1145,5919,4929,-425
1091,5895,4849,-413
1017,5969,4760,-409
954,6103,4691,-413
934,6140,4614,-413
954,6103,4533,-413
972,6069,4429,-412
954,6103,4336,-413
905,6138,4248,-411
864,6172,4179,-413
821,6223,4098,-416
773,6311,4021,-413
718,6374,3935,-399
727,6381,3863,-387
793,6334,3792,-384
864,6311,3745,-387
854,6340,3702,-387
773,6450,3666,-387
694,6527,3608,-389
682,6519,3548,-387
715,6440,3491,-375
727,6450,3469,-361
696,6510,3451,-356
636,6519,3430,-361
555,6444,3384,-364
545,6381,3351,-361
894,6083,3326,-358
1863,5202,3311,-361
3263,3819,3273,-364
4545,2566,3232,-361
5422,1670,3199,-348
6090,832,3193,-335
6635,84,3179,-330
6636,347,3154,-335
5663,2206,3108,-339
3909,4993,3075,-335
1980,7397,3049,-322
318,8877,3035,-309
-900,9600,3013,-305
-1545,9779,2996,-309
-1614,9422,2974,-313
-1364,8808,2956,-309
-1086,8268,2931,-297
-818,7906,2917,-284
-482,7550,2911,-278
-136,7213,2917,-284
83,6992,2904,-289
182,6935,2878,-284
251,6908,2844,-269
318,6866,2838,-258
347,6812,2841,-255
364,6797,2838,-258
386,6795,2812,-258
409,6797,2799,-258
401,6767,2798,-259
409,6727,2799,-258
439,6697,2776,-246
455,6727,2759,-232
414,6766,2756,-226
364,6797,2759,-232
367,6782,2739,-237
409,6797,2720,-232
430,6826,2713,-218
409,6866,2720,-206
378,6862,2704,-204
364,6866,2681,-206
362,6867,2666,-199
364,6866,2681,-181
364,6820,2689,-161
364,6797,2681,-155
348,6812,2653,-158
318,6866,2641,-155
298,6876,2639,-141
318,6866,2641,-129
355,6848,2621,-128
364,6866,2602,-129
333,6873,2590,-119
318,6866,2602,-103
352,6806,2606,-90
409,6727,2602,-77
452,6634,2578,-63
500,6589,2562,-52
582,6558,2551,-50
682,6519,2562,-52
760,6417,2577,-43
818,6311,2602,-26
881,6221,2617,-10
954,6172,2641,0
1024,6103,2667,11
1091,6034,2720,26
1161,5969,2786,41
1227,5964,2878,52
1265,5988,2969,61
1273,6034,3075,77
1257,6041,3182,102
1227,6034,3311,129
1183,6031,3443,146
1136,6103,3587,155
1102,6192,3721,163
1091,6242,3863,181
1092,6203,3998,206
1091,6172,4139,232
1072,6186,4259,249
1045,6242,4376,258
1018,6252,4484,266
1000,6242,4612,284
992,6227,4735,310
1000,6242,4849,335
1007,6238,4928,351
1000,6242,5006,361
974,6256,5082,371
954,6311,5164,387
950,6354,5224,402
954,6381,5282,413
951,6354,5335,421
954,6311,5401,438
971,6257,5446,464
1000,6242,5479,490
1034,6238,5493,506
1091,6242,5519,516
1164,6206,5539,527
1227,6172,5558,542
1257,6149,5555,555
1273,6172,5558,567
1280,6184,5556,579
1273,6172,5558,593
1258,6122,5537,606
1273,6103,5519,619
1299,6099,5495,631
1273,6103,5479,645
1174,6082,5442,657
1091,6103,5401,671
1077,6164,5352,683
1091,6242,5322,696
1070,6255,5283,708
1045,6242,5243,722
1048,6225,5181,736
1045,6242,5125,748
997,6242,5062,758
954,6242,5006,774
968,6229,4929,790
1000,6242,4849,799
975,6259,4760,798
909,6311,4691,799
864,6353,4615,809
864,6381,4533,825
871,6367,4429,838
864,6381,4336,851
827,6433,4249,865
773,6519,4179,877
707,6572,4095,878
682,6589,4021,877
695,6581,3951,883
727,6589,3903,903
728,6588,3843,920
727,6589,3784,928
749,6569,3716,927
773,6589,3666,928
773,6599,3620,937
773,6589,3587,954
764,6545,3545,968
682,6589,3508,980
550,6687,3463,989
500,6727,3430,1006
582,6577,3388,1021
818,6242,3351,1032
1445,5586,3304,1031
2682,4508,3272,1032
4134,3183,3245,1039
5090,2081,3232,1057
5550,1308,3211,1072
6181,763,3193,1083
6887,768,3169,1091
6454,2150,3154,1109
4265,4904,3131,1133
1500,7768,3114,1161
-255,9377,3090,1177
-818,9709,3075,1186
-1049,9533,3053,1192
-1318,9293,3035,1212
-1330,8868,3010,1238
-1000,8322,2996,1264
-644,7885,2976,1277
-409,7629,2956,1289
-173,7357,2928,1302
91,7074,2917,1315
259,6889,2914,1323
318,6866,2917,1341
368,6874,2899,1366
455,6866,2878,1393
519,6830,2852,1406
545,6797,2838,1418
542,6752,2816,1431
545,6727,2799,1444
543,6718,2788,1444
545,6727,2799,1444
541,6720,2805,1452
545,6727,2799,1470
554,6720,2773,1483
545,6727,2759,1496
517,6714,2756,1507
500,6727,2759,1522
517,6746,2742,1533
545,6797,2720,1547
541,6831,2706,1561
500,6866,2720,1573
461,6869,2728,1573
455,6866,2720,1573
462,6829,2691,1579
455,6797,2681,1599
439,6770,2681,1616
455,6797,2681,1625
490,6834,2656,1621
500,6866,2641,1625
469,6840,2637,1636
455,6797,2641,1651
490,6746,2621,1651
545,6727,2602,1651
572,6696,2591,1656
591,6658,2602,1676
631,6585,2600,1693
682,6519,2602,1702
