II,aVF,ABP,RESP
452,870,4837,0
444,839,4805,0
439,857,4775,0
444,904,4761,0
445,917,4735,0
444,904,4717,0
446,898,4688,0
444,904,4674,0
416,883,4662,0
370,839,4674,0
344,814,4675,0
370,839,4674,0
422,883,4659,0
444,904,4674,0
413,879,4695,0
370,839,4717,0
356,820,4710,0
370,839,4717,0
396,872,4734,0
444,904,4761,0
520,933,4760,0
592,968,4761,0
617,987,4760,0
592,968,4761,0
550,923,4734,0
518,904,4717,0
505,929,4711,0
518,968,4717,0
554,978,4696,0
592,968,4674,0
607,962,4649,0
592,968,4630,0
557,969,4584,0
518,968,4543,0
497,968,4510,0
518,968,4499,0
564,962,4475,0
592,968,4455,0
592,997,4428,0
592,1033,4412,0
582,1028,4383,0
518,968,4368,0
418,888,4359,0
370,839,4368,0
386,814,4353,0
370,775,4324,0
281,720,4286,0
222,710,4281,0
257,750,4283,0
296,775,4281,0
258,741,4251,0
222,710,4237,0
257,730,4234,0
296,775,4237,0
257,780,4210,0
222,775,4193,0
253,777,4188,0
296,775,4193,0
260,733,4170,0
222,710,4150,0
256,738,4140,0
296,775,4150,0
264,774,4133,0
222,775,4106,0
255,796,4072,0
296,775,4062,0
266,691,4055,0
222,645,4062,0
270,704,4062,0
444,839,4062,0
811,1110,4038,0
1481,1678,4019,0
2428,2542,4005,0
3479,3485,4019,0
4574,4413,4024,0
5700,5357,4019,0
6485,6037,3989,0
6218,5809,3975,0
4648,4444,3968,0
2443,2582,3975,0
609,1099,3970,0
-444,258,3975,0
-961,-217,3976,0
-1258,-516,3975,0
-1384,-601,3949,0
-1332,-516,3931,0
-1237,-474,3922,0
-1258,-581,3931,0
-1402,-743,3928,0
-1555,-839,3931,0
-1676,-900,3930,0
-1851,-1033,3931,0
-2155,-1278,3908,0
-2517,-1549,3887,0
-2804,-1757,3875,0
-2961,-1872,3887,0
-3052,-1918,3890,0
-3109,-1872,3887,0
-3121,-1737,3877,0
-3035,-1549,3887,0
-2845,-1373,3893,0
-2517,-1162,3887,0
-2027,-835,3856,0
-1406,-387,3844,0
-780,63,3843,0
-296,387,3844,0
-8,556,3817,0
148,645,3800,0
265,735,3795,0
370,839,3800,0
455,925,3777,0
518,968,3756,0
569,976,3748,0
592,968,3756,0
590,960,3740,0
592,968,3713,0
630,998,3680,0
666,1033,3669,0
652,1046,3662,0
592,1033,3669,0
560,1022,3670,0
592,1033,3669,0
653,1048,3645,0
666,1033,3625,0
625,990,3612,0
592,968,3625,0
616,992,3630,0
666,1033,3625,0
684,1044,3597,0
666,1033,3582,0
652,1026,3574,0
666,1033,3582,0
680,1035,3577,0
666,1033,3582,0
625,1031,3579,0
592,1033,3582,0
604,1030,3571,0
666,1033,3582,0
729,1035,3598,0
740,1033,3625,0
699,1025,3634,0
666,1033,3669,0
666,1045,3733,0
666,1033,3844,0
630,990,3961,0
592,968,4106,0
603,992,4263,0
666,1033,4455,0
723,1041,4656,0
740,1033,4892,0
732,1047,5142,0
740,1097,5416,0
772,1143,5676,0
814,1162,5940,0
852,1159,6185,0
888,1162,6421,0
905,1166,6620,0
888,1162,6814,0
861,1151,6991,0
888,1162,7163,0
970,1195,7289,0
1036,1226,7382,0
1041,1229,7429,0
1036,1226,7469,0
1069,1246,7490,0
1110,1291,7513,0
1116,1332,7502,0
1110,1355,7469,0
1117,1360,7400,0
1110,1355,7338,0
1069,1350,7271,0
1036,1355,7207,0
1039,1363,7115,0
1036,1355,7032,0
993,1322,6954,0
962,1291,6901,0
995,1284,6833,0
1036,1291,6770,0
974,1255,6694,0
814,1162,6639,0
700,1061,6582,0
740,1033,6552,0
839,1071,6520,0
814,1097,6508,0
647,1049,6481,0
518,968,6465,0
536,915,6434,0
592,904,6421,0
546,900,6406,0
444,904,6421,0
410,910,6424,0
444,904,6421,0
437,867,6388,0
370,839,6377,0
330,854,6373,0
370,904,6377,0
432,927,6350,0
444,904,6334,0
402,858,6311,0
370,839,6290,0
387,858,6237,0
444,904,6202,0
495,944,6179,0
518,968,6159,0
520,971,6093,0
518,968,6028,0
517,964,5973,0
518,968,5940,0
521,973,5877,0
518,968,5809,0
490,941,5736,0
444,904,5678,0
417,883,5594,0
444,904,5504,0
498,946,5403,0
518,968,5329,0
484,944,5255,0
444,904,5198,0
436,885,5128,0
444,904,5067,0
440,938,4993,0
444,968,4936,0
479,976,4880,0
518,968,4848,0
506,958,4817,0
444,968,4805,0
383,982,4781,0
370,968,4761,0
401,908,4729,0
444,839,4717,0
462,813,4710,0
444,839,4717,0
403,860,4711,0
370,839,4717,0
362,808,4727,0
370,839,4761,0
374,922,4784,0
370,968,4805,0
363,919,4803,0
370,839,4805,0
397,827,4797,0
444,904,4805,0
490,991,4803,0
518,1033,4805,0
522,1035,4795,0
518,1033,4805,0
517,1016,4808,0
518,968,4805,0
515,910,4774,0
518,904,4761,0
545,963,4757,0
592,1033,4761,0
618,1034,4736,0
592,968,4717,0
538,905,4709,0
518,904,4717,0
551,941,4699,0
592,968,4674,0
601,965,4642,0
592,968,4630,0
595,998,4607,0
592,1033,4586,0
539,1024,4556,0
444,968,4543,0
371,913,4522,0
370,904,4499,0
416,918,4452,0
444,904,4412,0
421,840,4375,0
370,775,4368,0
326,753,4364,0
296,775,4368,0
261,788,4348,0
222,775,4324,0
204,758,4290,0
222,775,4281,0
237,793,4277,0
222,775,4281,0
191,721,4259,0
222,710,4237,0
303,745,4207,0
370,775,4193,0
352,744,4182,0
296,710,4193,0
257,712,4198,0
222,710,4193,0
192,686,4162,0
222,710,4150,0
296,780,4147,0
296,775,4150,0
239,691,4123,0
296,710,4106,0
504,885,4099,0
740,1097,4106,0
1153,1455,4085,0
2073,2259,4062,0
3365,3394,4048,0
4442,4325,4062,0
5203,4951,4065,0
6070,5680,4062,0
6780,6299,4052,0
6144,5744,4062,0
3772,3658,4066,0
1036,1291,4062,0
-481,53,4034,0
-814,-129,4019,0
-980,-215,4011,0
-1332,-516,4019,0
-1477,-665,4013,0
-1332,-581,4019,0
-1285,-590,4020,0
-1481,-775,4019,0
-1685,-921,3992,0
-1777,-968,3975,0
-1897,-1076,3967,0
-2147,-1291,3975,0
-2462,-1513,3969,0
-2739,-1678,3975,0
-2936,-1807,3977,0
-3035,-1872,3975,0
-3083,-1848,3945,0
-3109,-1743,3931,0
-3103,-1623,3929,-1
-2961,-1485,3931,0
-2637,-1288,3904,1
-2147,-968,3887,0
-1558,-531,3884,-2
-962,-65,3887,0
-466,304,3861,7
-148,516,3844,17
19,619,3840,25
148,710,3844,33
306,837,3818,42
444,968,3800,50
506,1039,3796,56
518,1033,3800,66
546,990,3775,83
592,968,3756,99
634,990,3751,109
666,1033,3756,116
689,1055,3733,124
666,1033,3713,133
612,990,3705,140
592,968,3713,149
637,991,3693,164
666,1033,3669,182
632,1050,3654,194
592,1033,3669,199
616,1015,3674,203
666,1033,3669,215
678,1073,3644,232
666,1097,3625,248
667,1075,3597,258
666,1033,3582,265
651,1012,3569,272
666,1033,3582,282
720,1052,3586,290
740,1033,3582,298
673,985,3550,306
592,968,3538,315
594,997,3545,323
666,1033,3582,331
702,1037,3602,339
666,1033,3625,348
631,1036,3648,356
666,1033,3713,364
730,1017,3800,372
740,1033,3931,381
690,1078,4072,389
666,1097,4237,398
702,1060,4410,406
740,1033,4630,414
734,1058,4877,421
740,1097,5154,431
808,1098,5415,440
888,1097,5678,447
885,1130,5934,448
814,1162,6202,447
774,1137,6449,452
814,1097,6683,464
874,1105,6883,475
888,1162,7076,480
870,1206,7239,479
888,1226,7382,480
961,1250,7479,487
1036,1291,7557,497
1055,1310,7603,500
1036,1291,7644,497
1045,1268,7652,493
1110,1291,7644,497
1177,1340,7602,506
1184,1355,7557,513
1141,1318,7490,514
1110,1291,7425,513
1113,1316,7337,518
1110,1355,7251,530
1073,1344,7152,541
1036,1291,7076,547
1033,1245,7001,545
1036,1226,6945,547
985,1202,6874,553
888,1162,6814,563
815,1120,6739,570
814,1097,6683,580
840,1092,6624,589
814,1097,6596,596
711,1084,6566,596
592,1033,6552,596
523,954,6522,602
518,904,6508,613
529,896,6482,621
518,904,6465,629
483,900,6429,638
444,904,6421,646
405,914,6415,647
370,904,6421,646
351,860,6395,650
370,839,6377,663
412,866,6364,674
444,904,6377,679
447,906,6364,677
444,904,6334,679
446,932,6277,686
444,968,6246,696
433,954,6220,698
444,904,6202,696
485,876,6157,692
518,904,6115,696
497,948,6066,703
444,968,6028,712
418,945,5964,714
444,904,5897,712
490,881,5820,709
518,904,5766,712
521,945,5701,720
518,968,5635,729
519,964,5541,730
518,968,5460,729
494,980,5382,727
444,968,5329,729
390,925,5263,728
370,904,5198,729
394,932,5120,728
444,968,5067,729
490,953,5017,728
518,904,4979,729
527,878,4927,729
518,904,4892,729
487,943,4861,727
444,968,4848,729
422,973,4821,730
444,968,4805,729
470,945,4791,720
444,904,4805,712
383,857,4807,709
370,839,4805,712
419,860,4789,713
444,904,4805,712
385,926,4826,711
296,904,4848,712
246,841,4841,712
222,775,4848,712
199,744,4865,712
222,775,4892,712
323,841,4891,711
444,904,4892,712
504,939,4890,712
518,968,4892,712
546,1002,4866,709
592,1033,4848,712
609,1039,4841,720
592,1033,4848,729
579,1030,4829,731
592,1033,4805,729
604,1012,4775,726
592,968,4761,729
577,940,4735,729
592,968,4717,729
614,1021,4692,726
592,1033,4674,729
535,992,4642,731
518,968,4630,729
562,998,4625,720
592,1033,4630,712
559,1015,4609,709
518,968,4586,712
519,931,4557,713
518,904,4543,712
476,882,4517,711
444,904,4499,712
457,959,4473,712
444,968,4455,712
342,881,4427,711
222,775,4412,712
184,722,4389,712
222,710,4368,712
265,696,4334,711
296,710,4324,712
317,756,4322,712
296,775,4324,712
214,731,4298,711
148,710,4281,712
156,745,4273,712
222,775,4281,712
267,734,4262,711
296,710,4237,712
308,745,4205,712
296,775,4193,712
254,719,4183,711
222,645,4193,712
241,668,4197,712
296,775,4193,712
326,833,4164,711
296,775,4150,712
263,691,4145,713
296,710,4150,712
381,820,4127,709
518,968,4106,712
912,1295,4092,720
1777,2001,4106,729
2942,2972,4108,730
3997,3873,4106,729
4912,4683,4095,732
5922,5615,4106,745
6686,6336,4111,757
6218,5938,4106,762
4208,4143,4075,759
1703,1936,4062,762
-4,494,4059,771
-740,-65,4062,779
-1110,-335,4038,777
-1406,-581,4019,779
-1491,-652,4008,785
-1406,-581,4019,795
-1393,-613,4016,796
-1481,-775,4019,795
-1546,-901,4017,800
-1629,-968,4019,812
-1850,-1096,3995,816
-2147,-1291,3975,812
-2389,-1472,3962,806
-2591,-1614,3975,812
-2826,-1741,3978,822
-3035,-1807,3975,828
-3167,-1796,3950,826
-3257,-1743,3931,828
-3336,-1704,3918,836
-3257,-1614,3931,845
-2915,-1414,3938,845
-2369,-1097,3931,845
-1767,-702,3899,850
-1184,-258,3887,861
-665,163,3887,864
-296,452,3887,861
-90,577,3860,857
74,645,3844,861
300,761,3841,869
518,904,3844,878
611,998,3818,879
592,1033,3800,878
572,1043,3795,874
592,1033,3800,878
609,996,3777,885
592,968,3756,894
577,989,3748,896
592,1033,3756,894
634,1049,3740,891
666,1033,3713,894
678,1022,3681,901
666,1033,3669,911
637,1043,3660,913
592,1033,3669,911
566,1021,3673,906
592,1033,3669,911
648,1048,3640,920
666,1033,3625,928
625,988,3621,927
592,968,3625,928
618,995,3602,933
666,1033,3582,944
679,1038,3568,947
666,1033,3582,944
642,1036,3582,940
592,1033,3582,944
526,996,3571,952
518,968,3582,961
591,1003,3593,962
666,1097,3625,961
675,1169,3656,957
666,1162,3713,961
697,1092,3779,968
740,1033,3887,977
743,1018,4019,978
740,1033,4193,977
775,1038,4376,975
814,1033,4586,977
794,1026,4806,978
740,1033,5067,977
718,1053,5342,975
740,1097,5635,977
755,1145,5900,979
740,1162,6159,977
721,1130,6396,968
740,1097,6639,961
803,1108,6861,958
888,1162,7076,961
949,1209,7258,961
962,1226,7425,961
948,1223,7549,959
962,1226,7644,961
1026,1248,7694,960
1110,1291,7731,961
1164,1334,7738,960
1184,1355,7731,961
1208,1353,7689,959
1258,1355,7644,961
1292,1361,7579,962
1258,1355,7513,961
1173,1341,7422,951
1110,1355,7338,944
1084,1380,7245,941
1036,1355,7163,944
946,1276,7066,944
888,1226,6989,944
893,1233,6914,942
888,1226,6858,944
815,1157,6784,944
740,1097,6727,944
727,1096,6670,943
740,1097,6639,944
730,1033,6591,943
740,968,6552,944
795,980,6511,943
814,1033,6508,944
724,1028,6505,943
592,968,6508,944
502,916,6481,943
444,904,6465,944
385,902,6450,943
370,904,6465,944
418,905,6466,943
444,904,6465,944
378,893,6437,944
296,904,6421,944
299,940,6394,942
370,968,6377,944
422,948,6347,946
444,904,6334,944
476,882,6311,934
518,904,6290,928
530,921,6242,926
518,904,6202,928
531,877,6155,926
592,904,6115,928
655,979,6048,929
666,1033,5984,928
607,1015,5912,917
518,968,5853,911
455,949,5769,911
444,968,5678,911
455,997,5576,902
444,1033,5504,894
403,1056,5435,893
370,1033,5373,894
384,958,5281,886
444,904,5198,878
502,918,5117,875
518,968,5067,878
507,985,5014,871
518,968,4979,861
559,957,4946,856
592,968,4936,861
596,975,4913,865
592,968,4892,861
577,941,4858,851
518,904,4848,845
422,879,4842,843
370,904,4848,845
399,955,4839,843
444,968,4848,845
428,910,4863,846
370,839,4892,845
326,819,4895,836
296,839,4892,828
253,828,4880,825
222,775,4892,828
242,737,4907,829
296,775,4936,828
340,854,4942,826
370,904,4936,828
405,899,4906,828
444,904,4892,828
478,959,4885,827
518,1033,4892,828
564,1057,4886,828
592,1033,4892,828
592,1013,4892,826
592,1033,4892,828
602,1053,4867,830
592,1033,4848,828
549,984,4825,819
518,968,4805,812
541,999,4758,809
592,1033,4717,812
610,1016,4684,811
592,968,4674,812
598,943,4650,812
666,968,4630,812
743,1012,4602,803
740,1033,4586,795
640,1012,4560,791
518,968,4543,795
453,927,4517,796
444,904,4499,795
426,880,4470,792
370,839,4455,795
309,790,4433,797
296,775,4412,795
333,803,4377,786
370,839,4368,779
357,829,4368,775
296,775,4368,779
232,719,4340,779
222,710,4324,779
281,740,4320,776
370,775,4324,779
410,782,4300,779
370,775,4281,779
278,746,4272,775
222,710,4281,779
212,682,4261,786
222,710,4237,795
209,757,4220,796
222,775,4237,795
295,758,4245,794
370,775,4237,795
366,847,4204,793
296,904,4193,795
236,852,4191,801
222,710,4193,812
267,628,4168,814
370,710,4150,812
479,858,4140,807
592,968,4150,812
964,1229,4146,820
1851,1936,4150,828
3047,2982,4149,829
4071,3937,4150,828
4938,4729,4125,826
5996,5615,4106,828
6867,6311,4095,829
6366,5874,4106,828
4120,3998,4105,825
1406,1743,4106,828
-249,380,4100,835
-740,0,4106,845
-919,-136,4101,847
-1184,-387,4106,845
-1310,-545,4105,842
-1258,-516,4106,845
-1296,-516,4085,846
-1481,-645,4062,845
-1628,-794,4032,840
-1703,-904,4019,845
-1840,-1058,4008,854
-2073,-1291,4019,861
-2331,-1544,4022,860
-2591,-1743,4019,861
-2854,-1860,3990,868
-3035,-1872,3975,878
-3101,-1819,3969,878
-3109,-1743,3975,878
-3140,-1672,3956,883
-3109,-1549,3931,894
-2897,-1342,3901,898
-2443,-1033,3887,894
-1805,-636,3877,889
-1110,-194,3887,894
-516,200,3893,904
-148,452,3887,911
1,564,3857,910
74,645,3844,911
202,773,3843,917
370,904,3844,928
486,964,3816,935
518,968,3800,944
534,986,3797,953
592,1033,3800,961
685,1059,3774,961
740,1033,3756,961
706,987,3752,965
592,968,3756,977
500,992,3732,987
518,1033,3713,994
636,1051,3706,993
740,1033,3713,994
765,1013,3691,998
740,1033,3669,1010
713,1079,3658,1021
666,1097,3669,1027
584,1066,3656,1025
518,1033,3625,1027
527,1027,3587,1034
592,1033,3582,1044
647,1024,3582,1044
666,1033,3582,1044
666,1089,3554,1046
666,1162,3538,1060
662,1171,3528,1072
666,1097,3538,1077
694,1001,3532,1073
740,968,3538,1077
763,998,3547,1085
740,1033,3582,1093
691,1034,3613,1092
666,1033,3669,1093
668,1040,3736,1099
666,1033,3844,1110
652,1011,3971,1112
666,1033,4150,1110
711,1087,4352,1107
740,1097,4586,1110
731,1044,4815,1110
740,1033,5067,1110
786,1104,5321,1108
814,1162,5591,1110
799,1128,5846,1109
814,1097,6115,1110
896,1155,6377,1109
962,1226,6639,1110
938,1191,6864,1108
888,1097,7076,1110
902,1077,7259,1111
962,1162,7425,1110
1004,1253,7544,1100
1036,1291,7644,1093
1081,1291,7715,1090
1110,1291,7775,1093
1101,1288,7788,1093
1110,1291,7775,1093
1162,1311,7730,1091
1184,1355,7688,1093
1118,1399,7623,1092
1036,1420,7557,1093
1038,1400,7466,1092
1110,1355,7382,1093
1170,1312,7287,1092
1184,1291,7207,1093
1164,1269,7114,1093
1110,1226,7032,1093
1028,1176,6937,1091
962,1162,6858,1093
929,1172,6776,1094
888,1162,6727,1093
811,1118,6677,1089
740,1097,6639,1093
706,1111,6583,1102
666,1097,6552,1110
564,1006,6522,1108
444,904,6508,1110
395,870,6475,1117
444,904,6465,1126
513,927,6458,1126
518,904,6465,1126
449,842,6439,1132
370,775,6421,1143
342,738,6406,1144
370,775,6421,1143
395,856,6421,1146
370,904,6421,1159
315,876,6396,1170
296,839,6377,1176
330,856,6346,1174
370,904,6334,1176
374,899,6311,1181
370,839,6290,1193
394,797,6241,1202
444,839,6202,1209
490,925,6156,1208
518,968,6115,1209
508,922,6047,1213
444,839,5984,1226
369,799,5914,1236
370,839,5853,1242
454,917,5765,1240
518,968,5678,1242
474,958,5583,1248
370,904,5504,1259
304,830,5412,1261
296,775,5329,1259
299,772,5236,1254
296,839,5154,1259
316,910,5059,1267
370,904,4979,1275
422,822,4901,1275
444,775,4848,1275
445,822,4796,1275
444,904,4761,1275
426,929,4715,1272
370,904,4674,1275
305,872,4619,1283
296,839,4586,1292
342,793,4557,1291
370,775,4543,1292
337,804,4513,1298
296,839,4499,1309
292,821,4489,1309
296,775,4499,1309
282,754,4497,1311
296,775,4499,1325
351,787,4492,1336
370,775,4499,1342
302,762,4496,1339
222,775,4499,1342
209,769,4493,1348
222,710,4499,1358
173,639,4496,1365
74,645,4499,1375
3,707,4491,1383
0,710,4499,1391
49,622,4500,1395
148,581,4499,1408
297,680,4474,1424
444,839,4455,1441
501,932,4431,1448
444,968,4412,1458
364,1009,4379,1472
370,1033,4368,1491
455,982,4366,1499
518,904,4368,1507
516,877,4343,1518
518,904,4324,1540
567,917,4304,1559
592,904,4281,1574
531,895,4228,1579
444,904,4193,1590
418,906,4182,1603
444,904,4193,1623
474,920,4176,1640
518,968,4150,1656
580,1017,4119,1669
592,1033,4106,1690
521,1009,4081,1712
444,968,4062,1739
433,912,4037,1757
444,839,4019,1772
414,776,3988,1784
370,775,3975,1805
344,821,3969,1829
296,839,3975,1855
205,782,3956,1871
148,710,3931,1888
176,689,3899,1903
222,710,3887,1921
220,718,3879,1935
222,710,3887,1955
287,706,3889,1975
370,710,3887,2004
389,703,3863,2028
370,710,3844,2054
362,735,3831,2076
370,775,3844,2104
336,783,3848,2126
296,775,3844,2153
307,764,3817,2176
370,775,3800,2203
387,802,3790,2225
296,839,3800,2253
194,881,3800,2276
222,904,3800,2302
343,849,3793,2323
370,710,3800,2352
282,609,3802,2382
296,710,3800,2418
554,1006,3776,2449
962,1355,3756,2485
1507,1769,3744,2516
2369,2453,3756,2551
3565,3463,3762,2579
4738,4518,3756,2617
5574,5287,3728,2655
5996,5615,3713,2700
5800,5357,3706,2737
4590,4325,3713,2783
2514,2686,3708,2829
518,1097,3713,2882
-570,128,3713,2923
-888,-258,3713,2965
-1032,-423,3689,3002
-1184,-516,3669,3048
-1190,-502,3658,3086
-1110,-452,3669,3131
-1164,-508,3670,3168
-1332,-645,3669,3213
-1453,-754,3661,3251
-1555,-839,3669,3296
-1774,-982,3672,3340
-2073,-1162,3669,3396
-2323,-1327,3644,3444
-2517,-1485,3625,3495
-2722,-1670,3614,3537
-2887,-1807,3625,3594
-2960,-1829,3628,3651
-2961,-1743,3625,3710
-2942,-1632,3601,3755
-2813,-1485,3582,3810
-2492,-1254,3569,3865
-1999,-904,3582,3926
-1417,-463,3589,3971
-814,0,3582,4025
-297,377,3550,4075
0,581,3538,4124
86,628,3538,4149
148,645,3538,4174
321,744,3511,4197
518,904,3494,4224
602,1017,3491,4226
592,1033,3494,4224
608,1011,3470,4217
666,1033,3451,4224
697,1084,3444,4222
666,1097,3451,4224
624,1078,3431,4219
592,1097,3407,4224
557,1160,3393,4220
518,1162,3407,4224
542,1061,3413,4219
666,968,3407,4224
826,997,3381,4220
888,1097,3363,4224
803,1138,3352,4219
666,1097,3363,4224
610,1048,3368,4220
666,1033,3363,4224
759,1030,3335,4219
814,1033,3320,4224
803,1035,3311,4219
740,1033,3320,4224
673,1039,3315,4219
666,1097,3320,4224
712,1168,3317,4219
740,1162,3320,4224
707,1075,3309,4219
666,1033,3320,4224
658,1073,3335,4219
666,1097,3363,4224
678,1047,3374,4219
740,1033,3407,4224
840,1109,3456,4219
888,1162,3538,4224
849,1098,3624,4219
814,1033,3756,4224
829,1079,3928,4219
814,1162,4150,4224
721,1149,4377,4219
666,1097,4630,4224
746,1129,4886,4219
888,1226,5154,4224
956,1264,5405,4219
962,1226,5678,4224
987,1194,5959,4219
1036,1226,6246,4224
1049,1291,6493,4219
1036,1355,6727,4224
1053,1401,6945,4219
1110,1420,7163,4224
1158,1396,7334,4219
1184,1355,7469,4224
1214,1352,7561,4219
1258,1420,7644,4224
1280,1492,7696,4219
1258,1485,7731,4224
1229,1419,7734,4219
1258,1420,7731,4224
1343,1504,7698,4219
1406,1549,7644,4224
1390,1487,7553,4219
1332,1420,7469,4224
1289,1420,7380,4219
1258,1420,7294,4224
1200,1365,7179,4219
1110,1355,7076,4224
1002,1441,6977,4219
888,1485,6901,4224
806,1353,6807,4219
814,1162,6727,4224
880,1099,6648,4219
888,1162,6596,4224
783,1181,6526,4219
666,1097,6465,4224
637,996,6402,4219
666,968,6377,4224
653,999,6352,4219
592,1033,6334,4224
538,1021,6285,4219
518,968,6246,4224
512,912,6207,4219
518,904,6202,4224
527,917,6197,4219
518,904,6202,4224
498,873,6182,4219
518,904,6159,4224
575,990,6122,4219
592,1033,6115,4224
523,973,6111,4219
444,904,6115,4224
446,912,6091,4219
518,968,6071,4224
579,983,6045,4219
592,968,6028,4224
566,983,5984,4219
518,1033,5940,4224
462,1055,5889,4219
444,1033,5853,4224
498,995,5794,4219
592,968,5722,4224
639,938,5625,4219
592,904,5547,4224
496,884,5474,4219
444,904,5416,4224
468,943,5333,4219
518,968,5242,4224
533,967,5139,4219
518,968,5067,4224
508,974,4998,4219
518,968,4936,4224
546,953,4857,4219
592,968,4805,4224
622,1011,4759,4219
592,1033,4717,4224
527,1017,4657,4219
518,1033,4630,4224
574,1106,4626,4219
592,1162,4630,4224
517,1103,4599,4219
444,968,4586,4224
461,881,4598,4219
518,904,4630,4224
528,962,4628,4219
518,968,4630,4224
549,922,4644,4219
592,904,4674,4224
577,936,4672,4219
518,968,4674,4224
471,947,4685,4219
444,904,4717,4224
427,887,4722,4219
444,904,4717,4224
494,911,4707,4219
518,904,4717,4224
483,899,4716,4219
444,904,4717,4224
443,885,4710,4219
444,839,4717,4224
424,808,4716,4219
444,839,4717,4224
529,911,4698,4219
592,968,4674,4224
547,976,4639,4219
444,968,4630,4224
379,971,4628,4219
370,968,4630,4224
369,917,4607,4219
370,839,4586,4224
398,800,4560,4219
444,839,4543,4224
463,898,4512,4219
444,904,4499,4224
409,857,4494,4219
370,839,4499,4224
307,874,4478,4219
222,904,4455,4224
173,875,4427,4219
222,839,4412,4224
341,852,4384,4219
444,904,4368,4224
508,941,4345,4219
592,968,4324,4224
699,1002,4290,4219
740,1033,4281,4224
693,1035,4280,4219
666,1033,4281,4224
717,1040,4253,4219
740,1033,4237,4224
645,976,4232,4219
518,904,4237,4224
484,874,4213,4219
518,904,4193,4224
526,946,4183,4219
518,968,4193,4224
548,969,4190,4219
592,968,4193,4224
599,968,4193,4219
592,968,4193,4224
603,966,4167,4219
592,968,4150,4224
523,973,4141,4219
444,968,4150,4224
401,923,4145,4219
370,839,4150,4224
339,769,4150,4219
370,775,4150,4224
466,826,4123,4219
518,839,4106,4224
458,794,4099,4219
370,775,4106,4224
330,811,4086,4219
296,839,4062,4224
207,804,4046,4219
148,775,4062,4224
190,781,4071,4219
296,775,4062,4224
352,698,4030,4219
370,645,4019,4224
402,690,4017,4219
444,775,4019,4224
454,798,3992,4219
444,775,3975,4224
447,771,3968,4219
444,775,3975,4224
409,743,3955,4219
370,710,3931,4224
397,755,3915,4219
518,904,3931,4224
776,1167,3938,4219
1258,1614,3931,4224
2029,2292,3901,4219
3035,3163,3887,4224
4185,4174,3881,4219
5330,5228,3887,4224
6136,5981,3882,4219
6144,5938,3887,4224
5189,4957,3889,4219
3553,3421,3887,4224
1689,1804,3862,4219
0,387,3844,4224
-1038,-525,3835,4219
-1184,-710,3844,4224
-1000,-577,3841,4219
-1406,-904,3844,4224
-2343,-1666,3842,4219
-2665,-1872,3844,4224
-1843,-1069,3822,4219
-888,-194,3800,4224
-934,-280,3785,4219
-1703,-1033,3800,4224
-2219,-1483,3808,4219
-2295,-1420,3800,4224
-2453,-1390,3768,4219
-2813,-1614,3756,4224
-3022,-1796,3755,4219
-2961,-1743,3756,4224
-2909,-1638,3731,4219
-2961,-1614,3713,4224
-2938,-1592,3706,4219
-2665,-1420,3713,4224
-2170,-1062,3694,4219
-1555,-581,3669,4224
-937,-120,3652,4219
-444,194,3669,4224
-124,367,3679,4219
74,516,3669,4224
211,696,3636,4219
296,839,3625,4224
357,894,3626,4219
444,904,3625,4224
569,932,3598,4219
666,968,3582,4224
668,957,3578,4219
592,904,3582,4224
548,892,3557,4219
592,968,3538,4224
667,1071,3531,4219
666,1097,3538,4224
607,1034,3518,4219
592,968,3494,4224
669,975,3480,4219
740,1033,3494,4224
726,1063,3498,4219
666,1033,3494,4224
646,984,3483,4219
666,968,3494,4224
674,971,3500,4219
666,968,3494,4224
667,975,3463,4219
666,1033,3451,4224
631,1100,3448,4219
592,1097,3451,4224
604,1017,3424,4219
666,968,3407,4224
702,997,3399,4219
666,1033,3407,4224
600,1001,3396,4219
592,968,3407,4224
660,1013,3438,4219
740,1097,3494,4224
762,1107,3530,4219
740,1033,3582,4224
726,964,3660,4219
740,968,3800,4224
749,1009,3960,4219
740,1033,4150,4224
728,1028,4350,4219
740,1033,4586,4224
776,1060,4834,4219
814,1097,5110,4224
808,1127,5387,4219
740,1162,5678,4224
662,1202,5958,4220
666,1226,6246,4224
768,1206,6514,4219
888,1162,6770,4224
947,1119,6991,4220
962,1097,7207,4224
987,1104,7396,4220
1036,1162,7557,4224
1079,1243,7657,4220
1110,1291,7731,4224
1145,1286,7778,4220
1184,1291,7819,4224
1199,1328,7824,4220
1184,1355,7819,4224
1169,1345,7783,4215
1184,1355,7731,4207
1203,1403,7641,4187
1184,1420,7557,4174
1134,1356,7466,4155
1110,1291,7382,4141
1124,1303,7268,4113
1110,1355,7163,4091
1016,1352,7063,4067
888,1291,6989,4058
813,1220,6896,4041
814,1162,6814,4025
832,1109,6731,3995
814,1097,6683,3975
750,1134,6632,3954
666,1162,6596,3942
601,1117,6544,3916
592,1033,6508,3893
630,976,6458,3862
666,968,6421,3843
651,972,6379,3815
592,968,6377,3793
514,944,6376,3763
444,904,6377,3743
412,875,6345,3716
444,904,6334,3694
504,959,6328,3663
518,968,6334,3644
474,920,6306,3624
444,904,6290,3611
453,947,6280,3585
444,968,6290,3561
390,906,6269,3532
370,839,6246,3512
436,849,6217,3484
518,904,6202,3462
513,917,6161,3433
444,904,6115,3412
409,923,6059,3384
444,968,6028,3362
